(334,432,12)
(838,907,43)
(387,531,6)
(384,55,8)
(596,855,2)
(11,597,4)
(207,999,9)
(134,671,1)
(330,424,28)
(288,991,27)
(979,444,1)
(125,474,22)
(106,28,6)
(885,556,8)
(154,463,1)
(512,814,23)
(429,426,0)
(302,689,12)
(23,171,16)
(44,749,16)
(291,177,14)
(136,931,10)
(624,484,10)
(815,860,21)
(623,562,35)
(566,166,5)
(491,118,12)
(780,171,11)
(337,544,6)
(645,675,48)
(490,195,22)
(696,934,5)
(682,275,3)
(526,811,4)
(271,395,20)
(230,490,1)
(956,557,0)
(782,179,8)
(361,778,2)
(222,3,2)
(128,688,6)
(500,691,21)
(285,468,7)
(323,924,1)
(313,840,21)
(291,231,50)
(648,227,9)
(666,424,1)
(372,461,5)
(2,96,0)
(540,236,0)
(688,138,7)
(831,78,2)
(822,374,13)
(870,186,14)
(889,986,2)
(954,893,2)
(599,612,18)
(534,249,8)
(404,867,6)
(231,29,4)
(214,808,1)
(41,770,7)
(958,192,7)
(838,292,21)
(977,467,2)
(618,501,14)
(474,953,0)
(521,585,2)
(114,526,15)
(181,222,2)
(547,789,0)
(170,451,7)
(823,613,3)
(493,907,12)
(49,526,13)
(832,210,2)
(932,609,0)
(968,460,4)
(630,560,0)
(952,486,17)
(996,185,2)
(969,935,37)
(810,932,13)
(924,366,13)
(138,453,4)
(551,359,24)
(324,419,11)
(667,775,2)
(985,984,2)
(531,138,1)
(897,39,10)
(76,502,14)
(820,284,14)
(115,557,4)
(33,185,0)
(875,139,10)
(415,695,4)
(241,945,0)
(747,202,0)
(458,979,2)
(965,205,3)
(100,788,4)
(915,852,1)
(255,58,25)
(199,18,8)
(34,6,4)
(141,258,0)
(269,733,10)
(786,53,7)
(308,899,0)
(319,82,20)
(356,547,3)
(45,544,0)
(613,926,4)
(349,475,12)
(789,134,3)
(401,406,10)
(605,434,16)
(829,840,6)
(525,678,4)
(230,312,3)
(689,203,1)
(32,451,14)
(291,772,16)
(308,717,10)
(950,613,11)
(719,639,17)
(209,212,5)
(762,812,19)
(949,599,1)
(413,308,4)
(849,253,9)
(870,323,2)
(805,582,47)
(448,481,1)
(761,786,24)
(873,789,0)
(39,64,1)
(93,711,7)
(933,610,4)
(568,612,16)
(805,499,11)
(431,397,0)
(822,25,5)
(820,619,15)
(684,513,14)
(14,791,2)
(697,464,12)
(372,804,4)
(75,633,5)
(417,407,4)
(103,617,4)
(319,573,17)
(328,197,19)
(665,260,6)
(381,509,24)
(471,213,5)
(511,144,4)
(459,224,1)
(352,408,0)
(534,85,21)
(862,995,10)
(632,526,35)
(835,405,14)
(224,189,0)
(482,933,12)
(10,190,14)
(294,541,4)
(595,191,4)
(358,76,10)
(479,20,17)
(769,340,0)
(762,69,18)
(536,616,3)
(275,154,0)
(389,280,0)
(969,550,3)
(313,185,14)
(512,10,4)
(629,209,1)
(813,496,1)
(27,676,7)
(63,133,11)
(728,958,27)
(470,111,1)
(951,543,5)
(514,105,11)
(7,809,16)
(611,392,2)
(659,912,5)
(976,568,6)
(250,56,15)
(708,292,2)
(248,152,6)
(938,931,5)
(339,569,19)
(350,830,4)
(916,367,10)
(695,497,25)
(526,62,1)
(940,173,2)
(659,388,6)
(709,476,10)
(901,844,3)
(926,338,22)
(611,767,7)
(76,494,2)
(386,322,13)
(309,592,8)
(429,277,6)
(635,414,15)
(32,154,1)
(891,827,6)
(940,267,1)
(334,658,30)
(368,829,14)
(218,693,26)
(854,368,10)
(44,993,0)
(51,573,4)
(711,133,8)
(437,257,56)
(6,597,5)
(976,746,14)
(585,867,10)
(147,924,12)
(856,274,1)
(718,538,0)
(729,972,2)
(435,82,3)
(478,727,6)
(921,285,30)
(758,951,1)
(876,196,25)
(487,35,0)
(867,482,25)
(533,489,5)
(280,215,4)
(310,803,16)
(550,238,5)
(432,434,8)
(12,810,13)
(650,314,22)
(631,559,5)
(709,889,6)
(646,525,9)
(863,116,2)
(579,596,27)
(471,28,0)
(378,752,5)
(647,711,0)
(407,66,14)
(919,859,18)
(394,177,11)
(746,114,7)
(572,800,1)
(441,779,0)
(880,899,16)
(848,871,15)
(823,615,3)
(786,479,3)
(973,897,8)
(841,487,6)
(382,567,6)
(273,436,1)
(971,463,5)
(75,841,1)
(828,565,49)
(968,598,18)
(572,589,8)
(540,159,9)
(421,101,7)
(963,138,20)
(536,895,1)
(397,838,4)
(710,704,9)
(473,36,1)
(162,400,15)
(96,365,11)
(206,410,11)
(962,737,0)
(246,615,32)
(66,281,2)
(105,447,15)
(397,914,4)
(217,251,9)
(763,600,17)
(749,48,18)
(30,403,6)
(96,838,16)
(711,420,1)
(803,489,5)
(973,300,0)
(785,365,8)
(916,344,8)
(183,820,25)
(435,817,10)
(585,469,2)
(688,773,1)
(963,388,1)
(41,994,0)
(689,521,30)
(466,405,3)
(843,187,23)
(527,233,0)
(600,499,11)
(730,273,5)
(612,956,19)
(711,625,2)
(3,632,7)
(539,540,1)
(434,412,24)
(337,180,14)
(652,100,2)
(954,102,31)
(202,57,2)
(710,651,6)
(910,895,4)
(399,341,0)
(577,278,22)
(228,513,16)
(503,46,0)
(289,784,4)
(193,119,6)
(338,61,16)
(322,527,8)
(863,472,1)
(303,961,5)
(955,877,1)
(526,360,3)
(974,833,5)
(292,856,6)
(347,570,2)
(573,437,0)
(412,722,4)
(371,368,39)
(566,300,15)
(979,71,0)
(282,352,17)
(44,464,0)
(967,372,4)
(364,663,8)
(947,46,12)
(865,75,7)
(283,40,7)
(392,114,13)
(28,667,3)
(512,694,22)
(460,435,1)
(415,790,1)
(962,824,4)
(231,228,1)
(54,885,11)
(154,256,20)
(265,735,5)
(567,733,2)
(21,339,19)
(305,879,10)
(795,128,2)
(265,280,14)
(710,285,3)
(139,978,8)
(74,577,20)
(71,790,7)
(195,731,1)
(22,327,4)
(21,112,12)
(699,744,24)
(951,791,21)
(173,843,5)
(797,39,5)
(578,814,2)
(804,17,0)
(828,780,0)
(616,456,7)
(941,75,25)
(303,927,3)
(916,599,1)
(198,421,3)
(579,314,23)
(124,514,54)
(97,364,3)
(107,960,0)
(370,556,11)
(626,481,1)
(986,617,4)
(293,536,8)
(422,799,0)
(578,164,5)
(287,540,5)
(140,456,5)
(646,531,3)
(257,972,48)
(482,838,0)
(71,998,30)
(128,157,5)
(64,931,4)
(559,152,1)
(845,118,14)
(565,923,9)
(700,764,0)
(70,262,14)
(526,575,12)
(658,319,1)
(792,384,4)
(802,218,14)
(195,304,0)
(294,86,5)
(546,455,8)
(869,948,35)
(220,278,0)
(567,197,6)
(634,651,8)
(703,425,4)
(538,969,1)
(222,576,4)
(928,39,6)
(833,271,19)
(661,939,5)
(396,894,8)
(166,305,0)
(647,497,0)
(193,951,0)
(264,12,3)
(718,216,3)
(108,602,4)
(218,633,7)
(137,423,3)
(693,618,2)
(12,794,29)
(420,130,4)
(209,922,18)
(459,797,0)
(998,665,9)
(951,194,0)
(631,924,11)
(961,835,16)
(788,788,0)
(666,195,10)
(649,967,22)
(287,480,3)
(621,751,18)
(53,17,1)
(874,145,8)
(767,193,20)
(295,670,11)
(96,689,31)
(827,293,7)
(515,236,0)
(168,204,4)
(846,954,25)
(861,339,2)
(963,912,8)
(756,525,0)
(920,888,0)
(589,195,0)
(280,667,3)
(626,238,7)
(944,831,0)
(413,460,2)
(537,389,1)
(898,426,1)
(359,724,1)
(468,835,12)
(380,819,8)
(929,521,9)
(24,968,3)
(912,975,19)
(705,961,4)
(52,214,12)
(634,190,6)
(26,441,15)
(341,427,3)
(493,692,2)
(384,925,14)
(657,640,4)
(431,761,12)
(646,371,8)
(628,679,3)
(73,255,2)
(716,864,10)
(741,924,30)
(425,332,6)
(758,713,6)
(14,335,0)
(115,43,24)
(655,788,2)
(982,487,33)
(964,320,8)
